rank,movie,release_date,distributor,genre,gross,tickets_sold
187,Thor: Ragnarok,11/3/2017,Walt Disney,Action,3833139,420761
188,On the Basis of Sex,12/25/2018,Focus Features,Drama,3707849,407008
189,Gosnell: The Trial of Ameri…,10/12/2018,GVN Releasing,Drama,3679893,403939
190,Indivisible,10/26/2018,Pure Flix Enterta…,Drama,3511417,385446
191,2018 Oscar Shorts,2/9/2018,ShortsHD,Multiple Genres,3508777,385156
192,Disobedience,4/27/2018,Bleecker Street,Drama,3480702,382074
193,Justice League,11/17/2017,Warner Bros.,Action,3478000,381778
194,First Reformed,5/18/2018,A24,Thriller/Suspense,3448256,378513
195,"Juliet, Naked",8/17/2018,Roadside Attractions,Romantic Comedy,3444895,378144
196,Bad Samaritan,5/4/2018,Electric Entertai…,Thriller/Suspense,3424744,375932
197,The Disaster Artist,12/1/2017,A24,Comedy,3258821,357719
198,2001: A Space Odyssey,4/2/1968,MGM,Adventure,3236321,355249
199,The Leisure Seeker,3/9/2018,Sony Pictures Cla…,Drama,3224126,353910
200,7 Days in Entebbe,3/16/2018,Focus Features,Thriller/Suspense,3189220,350079
201,The Sisters Brothers,9/21/2018,Annapurna Pictures,Western,3143056,345011
202,Thoroughbreds,3/9/2018,Focus Features,Drama,3072605,337278
203,Sgt. Stubby: An American Hero,4/13/2018,Fun Academy Motio…,Adventure,3054285,335267
204,Whitney,7/6/2018,Roadside Attractions,Documentary,3026558,332223
205,American Animals,6/1/2018,The Orchard,Thriller/Suspense,2853526,313230
206,God Bless the Broken Road,9/7/2018,Freestyle Releasing,Drama,2846258,312432
207,La Boda de Valentina,2/9/2018,Lionsgate,Romantic Comedy,2783739,305570
208,Bharat Ane Nenu,4/20/2018,Great India Films,Thriller/Suspense,2663090,292326
209,You Were Never Really Here,4/6/2018,Amazon Studios,Drama,2523610,277015
210,Ben is Back,12/7/2018,Roadside Attractions,Drama,2511840,275723
211,Suspiria,10/26/2018,Amazon Studios,Horror,2483472,272609
212,The Rider,4/13/2018,Sony Pictures Cla…,Drama,2418679,265497
213,Mary and the Witch’s Flower,1/19/2018,GKIDS,Adventure,2418404,265466
214,Hearts Beat Loud,6/8/2018,Gunpowder & Sky,Drama,2386254,261937
215,Papillon,8/24/2018,Bleecker Street,Drama,2335896,256410
216,Daddy’s Home 2,11/10/2017,Paramount Pictures,Comedy,2238062,245671
217,Murder on the Orient Express,11/10/2017,20th Century Fox,Drama,2206919,242252
218,Puzzle,7/27/2018,Sony Pictures Cla…,Drama,2031242,222968
219,A Fantastic Woman,2/2/2018,Sony Pictures Cla…,Drama,2019554,221685
220,Pope Francis—A Man of His W…,5/18/2018,Focus Features,Documentary,2008385,220459
221,Assassination Nation,9/21/2018,Neon,Thriller/Suspense,2005142,220103
222,The Front Runner,11/6/2018,Sony Pictures,Drama,1994179,218900
223,Detective Chinatown 2,2/16/2018,Warner Bros.,Action,1983984,217781
224,At Eternity’s Gate,11/16/2018,CBS Films,Drama,1976942,217007
225,Dunkirk,7/21/2017,Warner Bros.,Action,1695119,186072
226,Race 3,6/15/2018,Yash Raj Films,Action,1690861,185604
227,Padman,2/9/2018,Sony Pictures,Comedy,1662927,182538
228,Shoplifters,11/23/2018,Magnolia Pictures,Drama,1646805,180768
229,A Private War,11/2/2018,Aviron Pictures,Drama,1623111,178168
230,The Bookshop,8/24/2018,Greenwich,Drama,1588150,174330
231,Operation Red Sea,2/23/2018,Well Go USA,Action,1543547,169434
232,Thugs of Hindostan,11/8/2018,Yash Raj Films,Action,1449848,159149
233,"Don’t Worry, He Won’t Get F…",7/13/2018,Amazon Studios,Drama,1441705,158255
234,Finding Your Feet,3/30/2018,Roadside Attractions,Comedy,1418682,155727
235,Little Women,9/28/2018,Pinnacle Peak,Drama,1379497,151426
236,102 Not Out,5/4/2018,Sony Pictures,Comedy,1339909,147081
237,Baaghi 2,3/30/2018,FIP,Action,1319579,144850
238,Along With The Gods: The Tw…,12/22/2017,Well Go USA,Action,1266947,139072
239,McQueen,7/20/2018,Bleecker Street,Documentary,1257275,138010
240,The Seagull,5/11/2018,Sony Pictures Cla…,Drama,1252960,137536
241,The Hows of Us,9/7/2018,ABS-CBN,Drama,1246444,136821
242,Maria by Callas,11/2/2018,Sony Pictures Cla…,Documentary,1230392,135059
243,Mandy,9/14/2018,RLJ Entertainment,Thriller/Suspense,1214525,133317
244,Beautifully Broken,8/24/2018,ArtAffects,Drama,1209645,132782
245,Along with the Gods: The La…,8/1/2018,Well Go USA,Action,1200246,131750
246,Andhadhun,10/5/2018,Eros Entertainment,Multiple Genres,1193049,130960
247,Lean on Pete,4/6/2018,A24,Drama,1163056,127668
248,The Dawn Wall,9/14/2018,The Orchard,Documentary,1037023,113833
249,Wildlife,10/19/2018,IFC Films,Drama,1012504,111142
250,Raid,3/16/2018,Eros Entertainment,Drama,1010385,110909
251,The Insult,1/12/2018,Cohen Media Group,Drama,1000038,109773
252,Yellow Submarine,11/13/1968,United Artists,Musical,993385,109043
253,Tiger Zinda Hai,12/22/2017,Yash Raj Films,Action,988690,108527
254,Film Stars Don’t Die in Liv…,12/29/2017,Sony Pictures Cla…,Drama,979074,107472
255,The Miseducation of Cameron…,8/3/2018,FilmRise,Drama,905111,99353
256,Schindler’s List,12/15/1993,Universal,Drama,895180,98263
257,Kedarnath,12/7/2018,PackYourBag Films,Drama,893582,98088
258,Let The Sunshine In,4/27/2018,Sundance Selects,Romantic Comedy,887673,97439
259,The Star,11/17/2017,Sony Pictures,Adventure,884046,97041
260,The Cakemaker,6/29/2018,Strand,Drama,874584,96002
261,Tea with the Dames,9/21/2018,IFC Films,Documentary,872055,95725
262,Beast,5/11/2018,Roadside Attractions,Drama,800365,87855
263,Sui Dhaaga: Made in India,9/28/2018,Yash Raj Films,Romantic Comedy,790628,86786
264,Border,10/26/2018,Neon,Thriller/Suspense,771930,84734
265,1945,11/1/2017,Menemsha Entertai…,Drama,762018,83646
266,The Party,2/16/2018,Roadside Attractions,Drama,749827,82308
267,How Long Will I Love U,5/25/2018,Well Go USA,Romantic Comedy,746933,81990
268,On Chesil Beach,5/18/2018,Bleecker Street,Drama,745972,81884
269,The Polar Express,11/10/2004,Warner Bros.,Adventure,731018,80243
270,Vox Lux,12/7/2018,Neon,Musical,727119,79815
271,Walk with me,7/18/2017,Gathr Films,Documentary,726593,79757
272,The Catcher Was A Spy,6/22/2018,IFC Films,Drama,725223,79607
273,Mirai no Mirai,11/29/2018,GKIDS,Adventure,722601,79319
274,The Little Stranger,8/31/2018,Focus Features,Drama,713143,78281
275,Monster Hunt 2,2/16/2018,Lionsgate,Adventure,706153,77514
276,Blaze,8/17/2018,IFC Films,Drama,703482,77221
277,Boundaries,6/22/2018,Sony Pictures Cla…,Drama,701828,77039
278,Nothing to Lose,5/10/2018,Swen Group,Drama,679531,74591
279,The Island,8/10/2018,Well Go USA,Comedy,670883,73642
280,Bombshell: The Hedy Lamarr …,11/24/2017,Zeitgeist,Documentary,664289,72918
281,Perfect Blue,8/20/1999,,,664129,72901
282,Ex Files 3: Return of the Exes,12/29/2017,China Lion Film D…,Comedy,656871,72104
283,Lizzie,9/14/2018,Roadside Attractions,Drama,642157,70489
284,"Love, Gilda",9/21/2018,Magnolia Pictures,Documentary,626318,68750
285,Itzhak,3/9/2018,Greenwich,Documentary,618626,67906
286,Burning,10/26/2018,Well Go USA,Thriller/Suspense,618493,67891
287,Foxtrot,3/2/2018,Sony Pictures Cla…,Drama,617972,67834
288,The Florida Project,10/6/2017,A24,Drama,607067,66637
289,Marshall,10/13/2017,Open Road,Drama,583341,64033
290,Pick of the Litter,8/31/2018,IFC Films,Documentary,565484,62073
291,Loveless,2/16/2018,Sony Pictures Cla…,Drama,564073,61918
292,Get Out,2/24/2017,Universal,Horror,556525,61089
293,A Cool Fish,11/16/2018,China Lion Film D…,Comedy,551196,60504
294,Anna and the Apocalypse,11/30/2018,Orion Pictures,Musical,545597,59889
295,Fireworks,7/4/2018,GKIDS,Drama,525280,57659
296,Beetle Juice,3/30/1988,Warner Bros.,Comedy,512947,56306
297,Husband Material,9/14/2018,Eros Entertainment,Drama,506548,55603
298,Monsters and Men,9/28/2018,Neon,Drama,500101,54895
299,The Spy Gone North,8/10/2018,CJ Entertainment,Drama,497755,54638
300,Bilal: A New Breed of Hero,2/2/2018,Vertical Entertai…,Adventure,490973,53893
301,The Great Battle,9/21/2018,Well Go USA,Action,472166,51829
302,Loving Vincent,9/22/2017,Good Deed Enterta…,Drama,465429,51089
303,The Happy Prince,10/10/2018,Sony Pictures Cla…,Drama,464495,50987
304,Scotty and the Secret Histo…,7/27/2018,Greenwich,Documentary,461689,50679
305,Final Portrait,3/23/2018,Sony Pictures Cla…,Drama,460859,50588
306,The Children Act,9/14/2018,A24,Drama,457803,50252
307,Condorito: The Movie,1/12/2018,Lionsgate,Adventure,447719,49146
308,Elf,11/7/2003,New Line,Adventure,442073,48526
309,Anthropocene: The Human Epoch,9/28/2018,Mongrel Media,Documentary,413915,45435
310,A Bag of Marbles,3/23/2018,Self Distributed,Drama,409862,44990
311,Hubble 3D,3/19/2010,Warner Bros.,Documentary,408663,44859
312,"The Night is Short, Walk on…",8/21/2018,GKIDS,Romantic Comedy,406490,44620
313,The Oath,10/12/2018,Roadside Attractions,Black Comedy,401464,44068
314,We The Animals,8/17/2018,The Orchard,Drama,400746,43989
315,The Gospel According to Andre,5/25/2018,Magnolia Pictures,Documentary,400713,43986
316,Leaning into the Wind,3/9/2018,Magnolia Pictures,Documentary,400530,43965
317,Blade Runner 2049,10/6/2017,Warner Bros.,Thriller/Suspense,399647,43869
318,Soorma,7/13/2018,Sony Pictures,Drama,382104,41943
319,The Dark Knight,7/18/2008,Warner Bros.,Action,375589,41228
320,Oh Lucy!,3/2/2018,Film Movement,Comedy,375393,41206
321,Grace Jones: Bloodlight and…,4/13/2018,Kino Lorber,Documentary,375208,41186
322,Jurassic Park,8/26/1994,Universal,Action,374238,41079
