rank,movie,release_date,distribution,genre,gross,tickets_sold
193,Hacksaw Ridge,11/4/2016,Lionsgate,Drama,2603050,290195
194,A Question of Faith,9/29/2017,Pure Flix Enterta…,Drama,2587072,288413
195,Is Genesis History?,2/23/2017,Fathom Events,Documentary,2570355,286550
196,Hazlo Como Hombre,9/1/2017,Lionsgate,Comedy,2534252,282525
197,Doctor Strange,11/4/2016,Walt Disney,Action,2534130,282511
198,LBJ,11/3/2017,Electric Entertai…,Drama,2468683,275215
199,Tulip Fever,9/1/2017,Weinstein Co.,Drama,2455635,273761
200,The Salesman,1/27/2017,Cohen Media Group,Drama,2402067,267788
201,T2: Trainspotting,3/17/2017,Sony Pictures,Drama,2402004,267782
202,Raees,1/25/2017,Zee Studios,Action,2369469,264154
203,"I, Tonya",12/8/2017,Neon,Black Comedy,2351336,262133
204,The Resurrection of Gavin S…,1/20/2017,High Top Releasing,Comedy,2303792,256832
205,The Killing of a Sacred Deer,10/20/2017,A24,Horror,2291900,255507
206,Collide,2/24/2017,Open Road,Action,2280004,254181
207,Jeepers Creepers 3,9/26/2017,Fathom Events,Horror,2235162,249181
208,The Lovers,5/5/2017,A24,Romantic Comedy,2194521,244651
209,Un Padre No Tan Padre,1/27/2017,Lionsgate,Comedy,2156047,240361
210,Brad’s Status,9/15/2017,Annapurna Pictures,Comedy,2133158,237810
211,Paterson,12/28/2016,Bleecker Street,Comedy,2040598,227491
212,Good Time,8/11/2017,A24,Drama,2026498,225919
213,Badrinath Ki Dulhania,3/10/2017,FIP,Comedy,1993259,222214
214,Everybody Loves Somebody,2/17/2017,Lionsgate,Romantic Comedy,1915789,213577
215,A Quiet Passion,4/14/2017,Music Box Films,Drama,1865396,207959
216,The Wall,5/12/2017,Roadside Attractions,Thriller/Suspense,1803064,201010
217,Free Fire,4/21/2017,A24,Action,1799322,200593
218,The Last Word,3/3/2017,Bleecker Street,Drama,1779620,198396
219,The Post,12/22/2017,20th Century Fox,Drama,1760121,196223
220,Goodbye Christopher Robin,10/13/2017,Fox Searchlight,Drama,1735251,193451
221,Menashe,7/28/2017,A24,Drama,1702996,189854
222,Slamma Jamma,3/24/2017,Riverrain,Drama,1687000,188071
223,The Comedian,2/3/2017,Sony Pictures Cla…,Comedy,1658706,184917
224,Jolly LLB 2,2/10/2017,FIP,Black Comedy,1654254,184421
225,The Little Hours,6/30/2017,Gunpowder & Sky,Black Comedy,1647175,183631
226,Terminator 2: Judgment Day,7/2/1991,Sony Pictures,Action,1605359,178969
227,A Ghost Story,7/7/2017,A24,Drama,1594798,177792
228,Professor Marston & The Won…,10/13/2017,Annapurna Pictures,Drama,1585362,176740
229,Youth,12/15/2017,China Lion Film D…,Drama,1579715,176110
230,The Stray,10/6/2017,Purdie Distribution,Multiple Genres,1579440,176080
231,A Taxi Driver,8/11/2017,Well Go USA,Drama,1527829,170326
232,Inhumans,9/1/2017,,Action,1521787,169652
233,Jane,10/20/2017,Abramorama Films,Documentary,1502589,167512
234,Judwaa 2,9/29/2017,FIP,Action,1431255,159560
235,Elle,11/11/2016,Sony Pictures Cla…,Drama,1423285,158671
236,The Wedding Plan,5/12/2017,Roadside Attractions,Action,1412404,157458
237,Toni Erdmann,12/25/2016,Sony Pictures Cla…,Comedy,1382067,154076
238,The Dinner,5/5/2017,The Orchard,Drama,1323312,147526
239,Wonder Wheel,12/1/2017,Amazon Studios,Drama,1306606,145663
240,Personal Shopper,3/10/2017,IFC Films,Thriller/Suspense,1305195,145506
241,My Friend Dahmer,11/3/2017,FilmRise,Drama,1296639,144552
242,Julieta,12/21/2016,Sony Pictures Cla…,Drama,1286485,143420
243,Jab Harry Met Sejal,8/4/2017,Red Chillies Ente…,Romantic Comedy,1284740,143226
244,Churchill,6/2/2017,Cohen Media Group,Drama,1279681,142662
245,The Sense of an Ending,3/10/2017,CBS Films,Drama,1274420,142075
246,3 Idiotas,6/2/2017,Lionsgate,Comedy,1249233,139267
247,The Square,10/27/2017,Magnolia Pictures,Drama,1223426,136390
248,The Women’s Balcony,3/3/2017,Dada Films,Comedy,1200885,133877
249,The Trip to Spain,8/11/2017,IFC Films,Comedy,1157604,129052
250,Step,8/4/2017,Fox Searchlight,Documentary,1146292,127792
251,Lady Macbeth,7/14/2017,Roadside Attractions,Drama,1129408,125909
252,Viceroy’s House,9/1/2017,IFC Films,Drama,1105717,123268
253,The Battleship Island,8/4/2017,CJ Entertainment,Drama,1104957,123183
254,The Eagle Huntress,11/2/2016,Sony Pictures Cla…,Documentary,1079051,120295
255,Wonderstruck,10/20/2017,Roadside Attractions,Drama,1033632,115232
