rank,movie,release_date,distributor,genre,2016 Gross,Tickets Sold
455,Vita Activa: The Spirit of …,4/6/2016,Zeitgeist,Documentary,82143,9496
456,For the Love of Spock,9/9/2016,Gravitas Ventures,Documentary,80141,9264
457,Sky on Fire,12/2/2016,Well Go USA,Action,78377,9060
458,Colliding Dreams,3/4/2016,International Fil…,Documentary,78288,9050
459,My Best Friend’s Wedding,8/12/2016,Sony Pictures,Romantic Comedy,77043,8906
460,Saala Khadoos,1/29/2016,UTV Communications,Drama,76931,8893
461,Don’t Blink: Robert Frank,7/13/2016,Grasshopper Film,Documentary,76134,8801
462,The Brand New Testament,12/9/2016,Music Box Films,Comedy,75928,8777
463,Sword Master,12/9/2016,Well Go USA,Action,75526,8731
464,King Cobra,10/21/2016,IFC Midnight,Drama,74712,8637
465,Les Cowboys,6/24/2016,Cohen Media Group,Western,73725,8523
466,Raiders! The Story of the G…,6/17/2016,Drafthouse Films,Documentary,71916,8313
467,The Congressman,4/29/2016,Shadow,Drama,71451,8260
468,Do Not Resist,9/30/2016,Vanish Films,Documentary,71195,8230
469,Norman Lear: Just Another V…,7/8/2016,Music Box Films,Documentary,70950,8202
470,The Messenger,12/4/2015,Alive Mind,Documentary,67816,7840
471,Phantom Detective,5/13/2016,CJ Entertainment,Action,67054,7751
472,Max Rose,9/2/2016,Paladin,Drama,66880,7731
473,Devil and Angel,12/31/2015,China Lion Film D…,Comedy,66588,7698
474,Maze Runner: The Scorch Trials,9/18/2015,20th Century Fox,Thriller/Suspense,66490,7686
475,Fire at Sea,10/21/2016,Kino Lorber,Documentary,66419,7678
476,Em La Ba Noi Cua Anh,3/11/2016,CJ Entertainment,Comedy,65718,7597
477,Sicario,9/18/2015,Lionsgate,Thriller/Suspense,65326,7552
478,Microbe and Gasoline,7/1/2016,Screen Media Films,Comedy,63802,7375
479,Trapped,3/4/2016,Abramorama Films,Documentary,63240,7310
480,The Tenth Man (2016),7/29/2016,Kino Lorber,Comedy,63201,7306
