rank,movie,release_date,distributor,genre,2016 Gross,Tickets Sold
1,Finding Dory,6/17/2016,Walt Disney,Adventure,486295561,56219140
2,Rogue One: A Star Wars Story,12/16/2016,Walt Disney,Adventure,424987707,49131526
3,Captain America: Civil War,5/6/2016,Walt Disney,Action,408084349,47177381
4,The Secret Life of Pets,7/8/2016,Universal,Adventure,368384330,42587783
5,The Jungle Book,4/15/2016,Walt Disney,Adventure,364001123,42081054
6,Deadpool,2/12/2016,20th Century Fox,Action,363070709,41973492
7,Zootopia,3/4/2016,Walt Disney,Adventure,341268248,39452976
8,Batman v Superman: Dawn of …,3/25/2016,Warner Bros.,Action,330360194,38191930
9,Suicide Squad,8/5/2016,Warner Bros.,Action,325100054,37583821
10,Doctor Strange,11/4/2016,Walt Disney,Action,230107790,26602056
11,Fantastic Beasts and Where …,11/18/2016,Warner Bros.,Adventure,222675573,25742841
12,Moana,11/23/2016,Walt Disney,Musical,210046114,24282787
13,Star Wars Ep. VII: The Forc…,12/18/2015,Walt Disney,Adventure,194453283,22480148
14,The Revenant,12/25/2015,20th Century Fox,Adventure,182765375,21128945
15,Sing,12/21/2016,Universal,Adventure,166497820,19248302
16,Jason Bourne,7/29/2016,Universal,Action,162192920,18750626
17,Star Trek Beyond,7/22/2016,Paramount Pictures,Adventure,158848340,18363969
18,X-Men: Apocalypse,5/27/2016,20th Century Fox,Action,155442489,17970229
19,Trolls,11/4/2016,20th Century Fox,Adventure,150130292,17356103
20,Kung Fu Panda 3,1/29/2016,20th Century Fox,Adventure,143528619,16592903
21,Ghostbusters,7/15/2016,Sony Pictures,Comedy,128350574,14838216
22,Central Intelligence,6/17/2016,Warner Bros.,Comedy,127440871,14733049
23,The Legend of Tarzan,7/1/2016,Warner Bros.,Adventure,126643061,14640816
24,Sully,9/9/2016,Warner Bros.,Drama,124976335,14448131
25,Bad Moms,7/29/2016,STX Entertainment,Comedy,113257297,13093329
26,The Angry Birds Movie,5/20/2016,Sony Pictures,Adventure,107509366,12428828
27,Independence Day: Resurgence,6/24/2016,20th Century Fox,Action,103144286,11924194
28,The Conjuring 2: The Enfiel…,6/10/2016,Warner Bros.,Horror,102470008,11846244
29,Sausage Party,8/12/2016,Sony Pictures,Comedy,97670358,11291370
30,The Magnificent Seven,9/23/2016,Sony Pictures,Western,93420253,10800029
31,Arrival,11/11/2016,Paramount Pictures,Drama,92191690,10657998
32,Ride Along 2,1/15/2016,Universal,Comedy,90862685,10504356
33,Don’t Breathe,8/26/2016,Sony Pictures,Horror,89217875,10314205
34,Miss Peregrine’s Home for P…,9/30/2016,20th Century Fox,Adventure,86945137,10051461
35,The Accountant,10/14/2016,Warner Bros.,Thriller/Suspense,85856696,9925630
36,Teenage Mutant Ninja Turtle…,6/3/2016,Paramount Pictures,Adventure,82051601,9485734
37,The Purge: Election Year,7/1/2016,Universal,Horror,79042440,9137854
38,Alice Through the Looking G…,5/27/2016,Walt Disney,Adventure,77042381,8906633
39,Pete’s Dragon,8/12/2016,Walt Disney,Adventure,76233151,8813081
40,The Girl on the Train,10/7/2016,Universal,Thriller/Suspense,75395035,8716189
41,Tyler Perry’s Boo! A Madea …,10/21/2016,Lionsgate,Comedy,73206343,8463161
42,Storks,9/23/2016,Warner Bros.,Adventure,72414850,8371659
43,10 Cloverfield Lane,3/11/2016,Paramount Pictures,Thriller/Suspense,72082999,8333294
44,Lights Out,7/22/2016,Warner Bros.,Horror,67268835,7776744
45,The Divergent Series: Alleg…,3/18/2016,Lionsgate,Action,66184051,7651335
46,Now You See Me 2,6/10/2016,Lionsgate,Thriller/Suspense,65075540,7523183
47,Hacksaw Ridge,11/4/2016,Lionsgate,Drama,64606565,7468967
48,Ice Age: Collision Course,7/22/2016,20th Century Fox,Adventure,64063008,7406128
49,The Boss,4/8/2016,Universal,Comedy,63077560,7292203
50,London Has Fallen,3/4/2016,Focus Features,Thriller/Suspense,62524260,7228238
51,Miracles from Heaven,3/16/2016,Sony Pictures,Drama,61705123,7133540
52,Deepwater Horizon,9/30/2016,Lionsgate,Drama,61433527,7102141
53,My Big Fat Greek Wedding 2,3/25/2016,Universal,Comedy,59689605,6900532
54,Jack Reacher: Never Go Back,10/21/2016,Paramount Pictures,Action,58574515,6771620
55,Daddy’s Home,12/25/2015,Paramount Pictures,Comedy,56467276,6528008
56,Me Before You,6/3/2016,Warner Bros.,Drama,56245075,6502321
57,The BFG,7/1/2016,Walt Disney,Adventure,55483770,6414308
58,Passengers,12/21/2016,Sony Pictures,Thriller/Suspense,55380209,6402336
59,Neighbors 2: Sorority Rising,5/20/2016,Universal,Comedy,55340730,6397772
60,The Shallows,6/24/2016,Sony Pictures,Drama,55121623,6372441
61,Barbershop: The Next Cut,4/15/2016,Warner Bros.,Comedy,54030051,6246249
62,13 Hours: The Secret Soldie…,1/15/2016,Paramount Pictures,Drama,52853219,6110198
63,Office Christmas Party,12/9/2016,Paramount Pictures,Comedy,51137285,5911824
64,Kubo and the Two Strings,8/19/2016,Focus Features,Adventure,48023088,5551802
65,The Huntsman: Winter’s War,4/22/2016,Universal,Action,48003015,5549481
66,Warcraft,6/10/2016,Universal,Action,47365290,5475756
67,How to be Single,2/12/2016,Warner Bros.,Romantic Comedy,46843513,5415435
68,Mike and Dave Need Wedding …,7/8/2016,20th Century Fox,Comedy,46009673,5319037
69,War Dogs,8/19/2016,Warner Bros.,Comedy,43034523,4975089
70,Almost Christmas,11/11/2016,Universal,Drama,42002805,4855815
71,Money Monster,5/13/2016,Sony Pictures,Thriller/Suspense,41012075,4741280
72,Allied,11/23/2016,Paramount Pictures,Drama,39598941,4577912
73,Nerve,7/27/2016,Lionsgate,Thriller/Suspense,38583626,4460534
74,Sisters,12/18/2015,Universal,Comedy,37921265,4383961
75,The Big Short,12/11/2015,Paramount Pictures,Drama,37204389,4301085
76,Risen,2/19/2016,Sony Pictures,Drama,36880033,4263587
77,Assassin’s Creed,12/21/2016,20th Century Fox,Action,36415167,4209846
78,The Nice Guys,5/20/2016,Warner Bros.,Black Comedy,36261763,4192111
79,The Boy,1/22/2016,STX Entertainment,Horror,35819556,4140989
80,Dirty Grandpa,1/22/2016,Lionsgate,Comedy,35593113,4114810
81,Ouija: Origin of Evil,10/21/2016,Universal,Horror,35144505,4062948
82,The 5th Wave,1/22/2016,Sony Pictures,Action,34912982,4036182
83,La La Land,12/9/2016,Lionsgate,Musical,34268613,3961689
84,Inferno,10/28/2016,Sony Pictures,Thriller/Suspense,34221651,3956260
85,Mother’s Day,4/29/2016,Open Road,Romantic Comedy,32492859,3756399
86,Gods of Egypt,2/26/2016,Lionsgate,Adventure,31153464,3601556
87,Why Him?,12/23/2016,20th Century Fox,Comedy,30633916,3541493
88,Alvin and the Chipmunks: Th…,12/18/2015,20th Century Fox,Adventure,30311560,3504226
89,"Hail, Caesar!",2/5/2016,Universal,Comedy,30080225,3477482
90,When the Bough Breaks,9/9/2016,Sony Pictures,Thriller/Suspense,29747603,3439029
91,Fences,12/16/2016,Paramount Pictures,Drama,29743615,3438568
92,Zoolander 2,2/12/2016,Paramount Pictures,Comedy,28848693,3335109
93,Manchester-by-the Sea,11/18/2016,Roadside Attractions,Drama,28470697,3291410
94,Joy,12/25/2015,20th Century Fox,Drama,28141138,3253310
95,The Finest Hours,1/29/2016,Walt Disney,Thriller/Suspense,27569558,3187232
96,Florence Foster Jenkins,8/12/2016,Paramount Pictures,Drama,27383770,3165753
97,Hell or High Water,8/12/2016,Lionsgate,Western,27007844,3122294
98,The Forest,1/8/2016,Focus / Gramercy,Thriller/Suspense,26594261,3074481
99,Ben-Hur,8/19/2016,Paramount Pictures,Drama,26410477,3053234
100,The Witch,2/19/2016,A24,Horror,25138705,2906208
101,The Hateful Eight,12/25/2015,Weinstein Co.,Western,25071561,2898446
102,Collateral Beauty,12/16/2016,Warner Bros.,Drama,24342478,2814159
103,Bridget Jones’s Baby,9/16/2016,Universal,Romantic Comedy,24139805,2790728
104,Kevin Hart: What Now?,10/14/2016,Universal,Concert/Perfor…,23591043,2727288
105,Whiskey Tango Foxtrot,3/4/2016,Paramount Pictures,Comedy,23083334,2668593
106,Snowden,9/16/2016,Open Road,Drama,21587519,2495666
107,Mechanic: Resurrection,8/26/2016,Lionsgate,Action,21218403,2452994
108,Free State of Jones,6/24/2016,STX Entertainment,Drama,20810036,2405784
109,Blair Witch,9/16/2016,Lionsgate,Horror,20777061,2401972
110,God’s Not Dead 2,4/1/2016,Pure Flix Enterta…,Drama,20773069,2401510
111,Keanu,4/29/2016,Warner Bros.,Comedy,20591853,2380561
112,Middle School: The Worst Ye…,10/7/2016,Lionsgate,Adventure,20007149,2312965
113,Nine Lives,8/5/2016,EuropaCorp,Adventure,19700032,2277460
114,Race,2/19/2016,Focus Features,Drama,19115191,2209848
115,Brooklyn,11/4/2015,Fox Searchlight,Drama,18758748,2168641
116,The Choice,2/5/2016,Lionsgate,Drama,18730891,2165420
117,Eye in the Sky,3/11/2016,Bleecker Street,Thriller/Suspense,18704596,2162381
118,Spotlight,11/6/2015,Open Road,Drama,17946804,2074775
119,Bad Santa 2,11/23/2016,Broad Green Pictures,Comedy,17725773,2049222
120,Masterminds,9/30/2016,Relativity,Comedy,17356894,2006577
121,Concussion,12/25/2015,Sony Pictures,Drama,17111463,1978203
122,Norm of the North,1/15/2016,Lionsgate,Adventure,17062499,1972543
123,The Birth of a Nation,10/7/2016,Fox Searchlight,Drama,15861566,1833707
124,Eddie the Eagle,2/26/2016,20th Century Fox,Drama,15789389,1825362
125,The Infiltrator,7/13/2016,Broad Green Pictures,Thriller/Suspense,15436808,1784602
126,Keeping Up with the Joneses,10/21/2016,20th Century Fox,Comedy,14904426,1723055
127,Criminal,4/15/2016,Lionsgate,Action,14708696,1700427
128,"Hello, My Name is Doris",3/11/2016,Roadside Attractions,Drama,14444999,1669942
129,The Edge of Seventeen,11/18/2016,STX Entertainment,Drama,14406786,1665524
130,Love & Friendship,5/13/2016,Roadside Attractions,Drama,14016568,1620412
131,Point Break,12/25/2015,Warner Bros.,Action,13197946,1525774
132,Hillary’s America: The Secr…,7/15/2016,Quality Flix,Documentary,13099931,1514442
133,Triple 9,2/26/2016,Open Road,Thriller/Suspense,12639297,1461190
134,Moonlight,10/21/2016,A24,Drama,12609768,1457776
135,The Light Between Oceans,9/2/2016,Walt Disney,Drama,12545979,1450402
136,Fifty Shades of Black,1/29/2016,Open Road,Comedy,11686940,1351091
137,No Manches Frida,9/2/2016,Lionsgate,Comedy,11528613,1332787
138,Café Society,7/15/2016,Lionsgate,Drama,11103205,1283607
139,Pride and Prejudice and Zom…,2/5/2016,Sony Pictures,Black Comedy,10907291,1260958
140,The Darkness,5/13/2016,High Top Releasing,Horror,10753574,1243187
141,Creed,11/25/2015,Warner Bros.,Drama,10382416,1200279
142,Nocturnal Animals,11/18/2016,Focus Features,Thriller/Suspense,10185257,1177486
143,The Lady in the Van,1/15/2016,Sony Pictures Cla…,Drama,10021175,1158517
144,Room,10/16/2015,A24,Drama,9700702,1121468
145,The Perfect Match,3/11/2016,Lionsgate,Romantic Comedy,9669521,1117863
146,Popstar: Never Stop Never S…,6/3/2016,Universal,Comedy,9496130,1097818
147,Hardcore Henry,4/8/2016,STX Entertainment,Action,9252038,1069599
148,Dangal,12/21/2016,UTV Communications,Action,9225794,1066565
149,The Lobster,5/13/2016,A24,Romantic Comedy,9196278,1063153
150,Meet the Blacks,4/1/2016,Freestyle Releasing,Comedy,9097072,1051684
151,The Queen of Katwe,9/23/2016,Walt Disney,Drama,8857311,1023966
152,Ratchet and Clank,4/29/2016,Focus Features,Adventure,8813410,1018891
153,The Good Dinosaur,11/25/2015,Walt Disney,Adventure,8320188,961871
154,The Wild Life,9/9/2016,Lionsgate,Adventure,8005586,925501
155,A Beautiful Planet,4/29/2016,Walt Disney,Documentary,7895708,912798
156,Carol,11/20/2015,Weinstein Co.,Drama,7729016,893527
157,The Hunger Games: Mockingja…,11/20/2015,Lionsgate,Thriller/Suspense,7538507,871503
158,Loving,11/4/2016,Focus Features,Drama,7482608,865041
159,Shut In,11/11/2016,EuropaCorp,Thriller/Suspense,6897838,797437
160,The Brothers Grimsby,3/11/2016,Sony Pictures,Comedy,6864016,793527
161,The Young Messiah,3/11/2016,Focus Features,Drama,6469813,747955
162,Jackie,12/2/2016,Fox Searchlight,Drama,6469725,747945
163,Southside with You,8/26/2016,Roadside Attractions,Drama,6304223,728811
164,Captain Fantastic,7/8/2016,Bleecker Street,Drama,5879835,679749
165,Sultan,7/6/2016,Yash Raj Films,Action,5599781,647373
166,Lion,11/25/2016,Weinstein Co.,Drama,5303700,613145
167,Hunt for the Wilderpeople,6/24/2016,The Orchard,Comedy,5205471,601788
168,Bleed for This,11/18/2016,Open Road,Drama,5083906,587734
169,The Danish Girl,11/27/2015,Focus Features,Drama,5063669,585395
170,The Wanderers,7/13/1979,Warner Bros.,Drama,5017811,580093
171,Incarnate,12/2/2016,High Top Releasing,Horror,4799774,554887
172,Absolutely Fabulous: The Movie,7/22/2016,Fox Searchlight,Comedy,4772155,551694
173,Hands of Stone,8/26/2016,Weinstein Co.,Drama,4712792,544831
174,Don’t Think Twice,7/22/2016,Film Arcade,Comedy,4417983,510749
175,The Meddler,4/22/2016,Sony Pictures Cla…,Comedy,4267219,493320
176,Ae Dil Hai Mushkil,10/28/2016,FIP,Drama,4264983,493061
177,A Hologram for the King,4/22/2016,Roadside Attractions,Drama,4212494,486993
178,Swiss Army Man,6/24/2016,A24,Drama,4210454,486757
179,Denial,9/30/2016,Bleecker Street,Drama,4073448,470918
180,45 Years,12/23/2015,IFC Films,Drama,4021334,464894
181,Morgan,9/2/2016,20th Century Fox,Thriller/Suspense,3915251,452630
182,Kabali,7/21/2016,Cinegalaxy,Action,3903095,451224
183,The Man Who Knew Infinity,4/29/2016,IFC Films,Drama,3877922,448314
184,Where to Invade Next,12/23/2015,Drafthouse Films,Documentary,3827261,442457
185,Max Steel,10/14/2016,Open Road,Action,3818664,441464
186,Batman: The Killing Joke,7/25/2016,Fathom Events,Action,3775000,436416
187,Midnight Special,3/18/2016,Warner Bros.,Drama,3712282,429166
188,Rules Don’t Apply,11/23/2016,20th Century Fox,Romantic Comedy,3652206,422220
189,Anomalisa,12/30/2015,Paramount Pictures,Adventure,3548654,410249
190,Miss Sloane,11/25/2016,EuropaCorp,Drama,3493636,403888
191,Indignation,7/29/2016,Roadside Attractions,Drama,3401155,393197
192,Everybody Wants Some,3/30/2016,Paramount Pictures,Comedy,3400278,393095
193,Maggie’s Plan,5/20/2016,Sony Pictures Cla…,Comedy,3351735,387483
194,A Man Called Ove,9/30/2016,Music Box Films,Comedy,3336006,385665
195,Sing Street,4/15/2016,Weinstein Co.,Musical,3237118,374233
196,The Mermaid,2/19/2016,Sony Pictures,Romantic Comedy,3229457,373347
197,Green Room,4/15/2016,A24,Horror,3220371,372297
198,Our Kind of Traitor,7/1/2016,Roadside Attractions,Thriller/Suspense,3153157,364526
199,Compadres,4/22/2016,Lionsgate,Comedy,3127773,361592
200,The Martian,10/2/2015,20th Century Fox,Thriller/Suspense,3088310,357030
201,The Other Side of the Door,3/4/2016,20th Century Fox,Horror,3000342,346860
202,Spectre,11/6/2015,Sony Pictures,Action,2971590,343536
203,Anthropoid,8/12/2016,Bleecker Street,Thriller/Suspense,2963630,342616
204,The Beatles: Eight Days a W…,9/16/2016,Abramorama Films,Documentary,2919918,337562
205,2016 Oscar Shorts,1/29/2016,ShortsHD,Multiple Genres,2816816,325643
206,Ip Man 3,1/22/2016,Well Go USA,Action,2679437,309761
207,Miles Ahead,4/1/2016,Sony Pictures Cla…,Drama,2610896,301837
208,Kapoor & Sons,3/18/2016,FIP,Comedy,2607036,301391
209,The Disappointments Room,9/9/2016,Relativity,Horror,2423467,280169
210,Hillsong: Let Hope Rise,9/16/2016,Pure Flix Enterta…,Documentary,2394725,276846
211,Dear Life,11/23/2016,Reliance Big Pict…,Drama,2376479,274737
212,A Aa,6/1/2016,Bluesky Cinemas,Romantic Comedy,2313043,267403
213,Train to Busan,7/22/2016,Well Go USA,Horror,2125786,245755
214,The Eagle Huntress,11/2/2016,Sony Pictures Cla…,Documentary,2089613,241573
215,I’m Not Ashamed,10/21/2016,Pure Flix Enterta…,Drama,2082980,240806
216,A Bigger Splash,5/4/2016,Fox Searchlight,Drama,2024099,233999
217,The Dressmaker,9/23/2016,Broad Green Pictures,Drama,2022115,233770
218,Desierto,10/14/2016,STX Entertainment,Thriller/Suspense,2002036,231449
219,Greater,8/26/2016,Hammond Entertain…,Drama,2000093,231224
220,Hidden Figures,12/25/2016,20th Century Fox,Drama,1986956,229706
221,Demolition,4/8/2016,Fox Searchlight,Drama,1978592,228738
222,In the Heart of the Sea,12/11/2015,Warner Bros.,Adventure,1957373,226286
223,The Peanuts Movie,11/6/2015,20th Century Fox,Adventure,1942827,224604
224,Shin Godzilla,10/11/2016,FUNimation,Action,1908028,220581
225,The Handmaiden,10/21/2016,Magnolia Pictures,Drama,1880285,217373
226,Purple Rain,7/27/1984,Warner Bros.,Drama,1868075,215962
227,M.S. Dhoni: The Untold Story,9/30/2016,FIP,Drama,1801550,208271
228,The Met: Live in HD - Manon…,3/5/2016,,Concert/Perfor…,1770000,204624
229,Busco Novio Para Mi Mujer,2/19/2016,Lionsgate,Romantic Comedy,1741889,201374
230,Billy Lynn’s Long Halftime …,11/11/2016,Sony Pictures,Drama,1738477,200980
231,The Harry Potter IMAX Marathon,10/14/2016,Warner Bros.,Adventure,1729226,199910
232,Bridge of Spies,10/16/2015,Walt Disney,Thriller/Suspense,1703601,196948
233,The Met: Live in HD - Madam…,4/2/2016,Fathom Events,Concert/Perfor…,1700900,196635
234,Fan,4/15/2016,Yash Raj Films,Thriller/Suspense,1689879,195361
235,Weiner,5/20/2016,Sundance Selects,Documentary,1675196,193664
236,I Saw the Light,3/25/2016,Sony Pictures Cla…,Drama,1646788,190380
237,Son of Saul,12/18/2015,Sony Pictures Cla…,Drama,1618509,187110
238,Equity,7/29/2016,Sony Pictures Cla…,Drama,1605463,185602
239,Neerja,2/19/2016,Fox International,Drama,1585687,183316
240,Jane Got a Gun,1/29/2016,Weinstein Co.,Western,1513793,175004
241,Priceless,10/14/2016,Roadside Attractions,Drama,1499605,173364
242,Youth,12/4/2015,Fox Searchlight,Drama,1405917,162533
243,Genius,6/10/2016,Roadside Attractions,Drama,1361045,157346
244,The Neon Demon,6/24/2016,Broad Green Pictures,Horror,1333124,154118
245,Embrace of the Serpent,2/17/2016,Oscilloscope Pict…,Drama,1329249,153670
246,Housefull 3,6/3/2016,Eros Entertainment,Romantic Comedy,1326999,153410
247,The Little Prince,2/12/2016,Entertainment One,Adventure,1311213,151585
248,Mohenjo Daro,8/12/2016,UTV Communications,Action,1264339,146166
249,Krampus,12/4/2015,Universal,Black Comedy,1259765,145637
250,Hotel Transylvania 2,9/25/2015,Sony Pictures,Adventure,1229092,142091
251,Lazer Team,1/27/2016,Rooster Teeth,Comedy,1186426,137159
252,The Music of Strangers: Yo …,6/10/2016,The Orchard,Documentary,1169214,135169
253,Vaxxed: From Cover Up to Ca…,4/1/2016,Cinema Libre,Documentary,1163265,134481
254,Dough,2/12/2016,Menemsha Entertai…,Comedy,1148304,132751
255,Papa: Hemingway in Cuba,4/29/2016,Yari Film Group R…,Drama,1115615,128972
256,Certain Women,10/14/2016,IFC Films,Drama,1068054,123474
257,The Innocents,7/1/2016,Music Box Films,Drama,1065665,123198
258,Elvis & Nixon,4/22/2016,Bleecker Street &…,Drama,1055284,121998
259,Operation Chromite,8/5/2016,CJ Entertainment,Action,1022720,118233
260,The Hollars,8/26/2016,Sony Pictures Cla…,Drama,1016985,117570
261,Baar Baar Dekho,9/9/2016,Eros Entertainment,Drama,981947,113519
262,Dark Horse,5/6/2016,Sony Pictures Cla…,Documentary,940715,108753
263,Goosebumps,10/16/2015,Sony Pictures,Horror,936590,108276
264,Hubble 3D,3/19/2010,Warner Bros.,Documentary,923832,106801
265,Elle,11/11/2016,Sony Pictures Cla…,Drama,916450,105947
266,Gentleman,6/17/2016,Gaatri Media,Thriller/Suspense,897876,103800
267,Believe,12/2/2016,Smith Global Media,Drama,889328,102812
268,Rustom,8/12/2016,Independent Indian,Drama,880000,101734
269,Ki & Ka,4/1/2016,Eros Entertainment,Comedy,857986,99189
270,Trumbo,11/6/2015,Bleecker Street,Drama,842513,97400
271,Premam,10/6/2016,Bluesky Cinemas,Comedy,825602,95445
272,Dishoom,7/29/2016,Eros Entertainment,Action,812737,93958
273,Operation Mekong,9/30/2016,Well Go USA,Action,800012,92486
274,The Wailing,5/20/2016,Well Go USA,Thriller/Suspense,786633,90940
275,31,9/1/2016,Saban Films,Horror,779820,90152
276,Chongqing Hot Pot,4/1/2016,China Lion Film D…,Comedy,776649,89786
277,The Polar Express,11/10/2004,Warner Bros.,Adventure,763440,88259
278,Born to Be Blue,3/4/2016,IFC Films,Drama,755153,87300
279,Saturday’s Warrior,4/1/2016,Purdie Distribution,Musical,744046,86016
280,I Belonged to You,9/30/2016,China Lion Film D…,Romantic Comedy,743507,85954
281,Monkey King 2,2/5/2016,China Lion Film D…,Action,709982,82078
282,Bajirao Mastani,12/18/2015,Eros Entertainment,Drama,708076,81858
283,Little Men,8/5/2016,Magnolia Pictures,Drama,702537,81218
284,Chaar Sahibzaade 2: Rise of…,11/11/2016,Eros Entertainment,Adventure,700723,81008
285,Mr. Church,9/16/2016,Cinelou Releasing,Drama,685780,79280
286,American Honey,9/30/2016,A24,Drama,663247,76675
287,Mustang,11/20/2015,Cohen Media Group,Drama,659328,76222
288,Born to be Wild 3D,4/8/2011,Warner Bros.,Documentary,658188,76091
289,Jeremy,10/21/2016,Sony Pictures,Comedy,647701,74878
290,Patriots Day,12/21/2016,Lionsgate,Thriller/Suspense,628789,72692
291,The Bronze,3/18/2016,Sony Pictures Cla…,Black Comedy,615816,71192
292,Tickled,6/17/2016,Magnolia Pictures,Documentary,613956,70977
293,City of Gold,3/11/2016,IFC Films,Documentary,608799,70381
294,"Lo And Behold, Reveries Of …",8/19/2016,Magnolia Pictures,Documentary,594912,68775
295,Wazir,1/8/2016,Reliance Entertai…,Thriller/Suspense,586028,67748
296,Gleason,7/29/2016,Open Road,Documentary,585233,67656
297,Range 15,6/15/2016,Tugg,Comedy,575258,66503
298,A Tale of Love and Darkness,8/19/2016,Focus World,Drama,572212,66151
299,Tunnel,8/26/2016,Well Go USA,Action,568876,65766
300,Knight of Cups,3/4/2016,Broad Green Pictures,Drama,566006,65434
301,Cold War 2,7/8/2016,Well Go USA,Action,560824,64835
302,Harry & Snowman,9/30/2016,FilmRise,Documentary,552614,63886
303,American Pastoral,10/21/2016,Lionsgate,Drama,544098,62901
304,The Age of Shadows,9/23/2016,CJ Entertainment,Action,540268,62458
305,Fitoor,2/12/2016,UTV Communications,Drama,528799,61132
306,The First Monday in May,4/15/2016,Magnolia Pictures,Documentary,527474,60979
307,Willy Wonka & the Chocolate…,6/30/1971,,,526633,60882
308,Unsullied,4/22/2016,Indican Pictures,Thriller/Suspense,510957,59070
309,Marguerite,3/11/2016,Cohen Media Group,Drama,497323,57493
310,The Boy and the Beast,3/4/2016,FUNimation,Adventure,490643,56721
311,Wiener-Dog,6/24/2016,Sundance Selects,Comedy,470575,54401
